state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external
Hawaii,15,12,2018,2014,2014,1,4,734867,2407,1514,893,520,327.542262749586,206.02367503235283,121.51858771723319,70.76110370992302,285.39,171.66,113.72999999999999,69.54
Hawaii,15,12,2019,2014,2014,1,5,728682,2520,1540,980,539,345.8298681729479,211.34047499457927,134.48939317836863,73.96916624810274,306.87,180.1,126.77000000000001,73.1
Idaho,16,13,2010,0,0,0,NA,789424,2579,1527,1052,572,326.69389326901637,193.43217333144165,133.26171993757472,72.45789335008817,291.14,165.09,126.04999999999998,71.98
Idaho,16,13,2011,0,0,0,NA,797559,2671,1584,1087,564,334.8968540258464,198.60599654696392,136.29085747888243,70.71577149778261,294.66,166.85,127.81000000000003,70.55
Idaho,16,13,2012,0,0,0,NA,799650,2642,1563,1079,587,330.39454761458137,195.460513974864,134.93403363971737,73.40711561308073,290.35,163.58,126.77000000000001,73.24
Idaho,16,13,2013,0,0,0,NA,805536,2915,1716,1199,642,361.8708536924483,213.02586104159218,148.84499265085608,79.69848647360267,315.47,176.5,138.97000000000003,79.04
Idaho,16,13,2014,0,0,0,NA,813969,2835,1677,1158,607,348.2933625236342,206.02750227588518,142.265860247749,74.57286456855236,304.73,170.12,134.61,75.06
Idaho,16,13,2015,0,0,0,NA,822675,2938,1671,1267,664,357.12766280730546,203.11787765521015,154.0097851520953,80.71231045066399,310.63,165.68,144.95,81.4
Idaho,16,13,2016,0,0,0,NA,834415,2963,1711,1252,695,355.09908139235273,205.05384011553005,150.04524127682268,83.2918871305046,307.12,165.6,141.52,84.08
Idaho,16,13,2017,0,0,0,NA,849456,3000,1684,1316,746,353.16720348081594,198.244523553898,154.92267992691794,87.8209112655629,307.23,161.65,145.58,87.54
Idaho,16,13,2018,0,0,0,NA,866186,3017,1682,1335,704,348.308561902409,194.184620855105,154.12394104730393,81.27584606539473,305.65,160.98,144.67,81.69
Idaho,16,13,2019,0,0,0,NA,883788,2911,1577,1334,690,329.37763355012737,178.4364576120065,150.94117593812092,78.07302203695909,288.09,145.83,142.25999999999996,77.95
Illinois,17,14,2010,2014,2014,0,-4,6845933,23443,16249,7194,3413,342.43688917200916,237.35260044175132,105.0842887302578,49.85441721384069,307.36,207.15,100.21000000000001,49.89
Illinois,17,14,2011,2014,2014,0,-3,6880302,23674,16132,7542,3603,344.08373353378965,234.46645219933657,109.61728133445305,52.3668873837224,305.36,201.16,104.20000000000002,52.74
Illinois,17,14,2012,2014,2014,0,-2,6862106,24062,16311,7751,3890,350.6503688517782,237.69670710420388,112.95366174757429,56.68813626603845,308.81,202.12,106.69,56.66
Illinois,17,14,2013,2014,2014,0,-1,6855616,23889,16161,7728,3851,348.4588401684108,235.7337400461169,112.7251001222939,56.172924504523,304.47,198.3,106.17000000000002,56.06
Illinois,17,14,2014,2014,2014,1,0,6851413,24283,16224,8059,4015,354.42324087016794,236.79786928623338,117.62537158393458,58.6010506153986,307.87,197.25,110.62,58.49
Illinois,17,14,2015,2014,2014,1,1,6835197,24680,16185,8495,4164,361.07225585451306,236.78907864689197,124.2831772076211,60.9199705582736,311.71,195.62,116.08999999999997,60.82
Illinois,17,14,2016,2014,2014,1,2,6789655,25215,15630,9585,5013,371.3738032344795,230.20315465218775,141.17064858229173,73.83291198153663,321.63,189.12,132.51,74.16
Illinois,17,14,2017,2014,2014,1,3,6764337,25208,15177,10031,5341,372.66032132934833,224.36788705234525,148.29243427700305,78.95821866947196,321.9,183.15,138.74999999999997,79.22
Illinois,17,14,2018,2014,2014,1,4,6714543,25746,15504,10242,5418,383.4363708743842,230.90179033777875,152.5345805366054,80.69052502903027,330.57,188.29,142.28,80.61
Illinois,17,14,2019,2014,2014,1,5,6653303,25142,15021,10121,5330,377.88749437685317,225.76756236714306,152.11993200971008,80.11058567451384,328.05,185.75,142.3,80.42
Indiana,18,15,2010,2015,2015,0,-5,3384086,14101,9444,4657,2288,416.68562796571956,279.0709219564751,137.61470600924446,67.61057490855728,364.43,234.8,129.63,67.74
Indiana,18,15,2011,2015,2015,0,-4,3403591,14652,9654,4998,2426,430.48650675125185,283.64160088565285,146.844905865599,71.27765938974454,373.7,235.98,137.72,72.06
Indiana,18,15,2012,2015,2015,0,-3,3394229,14726,9638,5088,2505,433.85405050749375,283.9525559412756,149.90149456621813,73.80173818560857,375.7,234.78,140.92,74.71
Indiana,18,15,2013,2015,2015,0,-2,3403429,14972,9686,5286,2627,439.90927972935526,284.5953301802388,155.31394954911647,77.18686066317235,378.54,233.23,145.31000000000003,78.11
Indiana,18,15,2014,2015,2015,0,-1,3404101,15322,9808,5514,2687,450.1041537839212,288.12306097850797,161.98109280541325,78.93420318609817,387.07,235.5,151.57,79.92
Indiana,18,15,2015,2015,2015,1,0,3408353,15602,9824,5778,2799,457.7577498574825,288.2330556723438,169.52469418513869,82.12177553205316,391.82,233.75,158.07,82.82
Indiana,18,15,2016,2015,2015,1,1,3404784,16129,9940,6189,3217,473.71580693518297,291.94216138233736,181.77364555284564,94.48470152585304,407.1,236.31,170.79000000000002,96.14
Indiana,18,15,2017,2015,2015,1,2,3410645,16500,9881,6619,3635,483.77946106968034,289.71059726239463,194.0688638072857,106.57808127201747,418.44,234.9,183.54,109.02
Indiana,18,15,2018,2015,2015,1,3,3412750,16193,9748,6445,3406,474.4853856860303,285.6347520328181,188.8506336532122,99.80221229213977,407.17,229.01,178.16000000000003,101.84
Indiana,18,15,2019,2015,2015,1,4,3418757,16083,9630,6453,3365,470.4341373194995,281.6813245281838,188.75281279131568,98.42758640055435,405.31,227.93,177.38,100.17
Iowa,19,16,2010,2014,2014,0,-4,1559607,5377,3558,1819,875,344.7663417771272,228.13439539576316,116.63194638136402,56.103877451178406,295.43,187.97,107.46000000000001,55.22
