state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external,log_median_income,poverty_rate,unemployment_rate,pct_black,pct_hispanic
Pennsylvania,42,39,2015,2015,2015,1,0,6727908,28083,17139,10944,5896,417.4105829033334,254.74486274188052,162.66572016145287,87.63496766008097,349.53,197.99,151.53999999999996,89.25,10.927771331913476,0.13160280762129536,0.06267700406185009,0.10537790930414154,0.06797178645457064
Pennsylvania,42,39,2016,2015,2015,1,1,6698103,29170,16711,12459,7130,435.4964383199243,249.48854922057785,186.00788909934647,106.44804954477412,369.22,193.27,175.95000000000002,109.89,10.949173635394832,0.1287202496455442,0.057774568354256484,0.10573224333391452,0.07039940701929026
Pennsylvania,42,39,2017,2015,2015,1,2,6684956,29623,16550,13073,7956,443.1293190261836,247.57081422824623,195.55850479793733,119.01349836857564,377.12,190.91,186.21,123.49,10.988592357845736,0.12491579363051407,0.05296202163455306,0.10681434132750543,0.07328298688293979
Pennsylvania,42,39,2018,2015,2015,1,3,6662237,28671,16328,12343,7196,430.3509466865259,245.0828452965573,185.26810138996856,108.01176841952636,363.13,188.48,174.65,110.88,11.01707055213406,0.12246812974019687,0.048892731841856975,0.10562955120066589,0.07611137919241419
Pennsylvania,42,39,2019,2015,2015,1,4,6631855,28430,16186,12244,6952,428.6885041967896,244.06444350788732,184.6240606889023,104.82738238396348,362.41,188.74,173.67000000000002,107.61,11.058212337893119,0.12023182358403181,0.044923961462096526,0.10736519145579644,0.07794335708302827
Rhode Island,44,40,2010,2014,2014,0,-4,556761,1915,1215,700,381,343.9536892849894,218.22649215731704,125.72719712767235,68.43151729377595,294.1,176.95,117.15000000000003,68.8,10.863871721920795,0.1404742145820984,0.10898089703709887,0.052150945116565324,0.12478368978217964
Rhode Island,44,40,2011,2014,2014,0,-3,556524,1962,1247,715,378,352.5454427841387,224.06940221805348,128.4760405660852,67.92159906850378,296.09,178.26,117.82999999999998,66.49,10.889975763399534,0.14735415237127714,0.10280687098993359,0.05150946160094816,0.12814015382830052
Rhode Island,44,40,2012,2014,2014,0,-2,554728,1880,1175,705,383,338.9048326386986,211.81552039918665,127.08931223951198,69.04284622373487,285.25,167.51,117.74,69.24,10.906946315795638,0.13747057001392451,0.09366770472854269,0.04998609910386826,0.13191569582554186
Rhode Island,44,40,2013,2014,2014,0,-1,556756,2012,1269,743,424,361.3791319716357,227.92749427038055,133.45163770125515,76.1554433180783,303.68,179.83,123.85,76.03,10.93135543667848,0.1428988343208086,0.09210707125516629,0.053014186251974536,0.13585497441301136
Rhode Island,44,40,2014,2014,2014,1,0,559044,1984,1253,731,424,354.8915648857693,224.1326264122323,130.75893847353697,75.84376185058778,299.28,177.17,122.11,75.46,10.913104679632676,0.14335182714602893,0.07775597211883332,0.05505732235377516,0.1403523403271312
Rhode Island,44,40,2015,2014,2014,1,1,560300,2050,1233,817,454,365.87542388006426,220.06068177761912,145.8147421024451,81.02802070319471,305.36,171.08,134.28,80.22,10.969456118819169,0.13876712881379613,0.0620974643267415,0.05430664452644992,0.14397925585393515
